OChaTeaBar				Dining
ORB					Travel
OTGManagementJFK			Dining
OTGManagementTuscon			WorkTravel
OUTGOING_DOMESTIC_WIRE_FEE		BankCharges
OakRidgeAssociatedUniversities		WorkTravel
OakStreetBeachCade			WorkTravel
OberweisDairy				Dining
ObriensRestaurant			Dining
Oceans5Seafood				Dining
OceansPizzeria				Dining
OfficeMax				General
OhareAirport				Travel
OilXchange				Service
OldNavy					Clothing
OlliesNoodleShop			Dining
OlympicNews				WorkTravel
OnTheBorder				Dining
OnTheRocks				Dining
OneStepAhead				Clothing
Online_Payment_3785430058_To_Con	Doctor
OnlySki					Entertainment
OpenRange				Alcohol
OpeningBalance				OpeningBalance
OshKosh					Clothing
OswaldsPharmacy				General
Outback					Dining
P&C					Groceries
PBAleHouse				Dining
PJCinemas				Entertainment
PJClarkes				Dining
PJVillageGrocery			Groceries
PacificaSuites				WorkTravel
PacosTacos				Dining
PagliaciPizza				Dining
PalJoeys				Dining
Palomino				Recreation
PancherosMexicanGrill			Dining
PanchoVillas				Dining
PandaExpress				Dining
Panera					Dining
PaneraBread				Dining
PaninoSportivo				Dining
PapaJohns				Dining
Paradies				Dining
ParadiseBakery&Cafe			WorkTravel
ParkGateParking				Tolls
PaulVandeWater				CollegeFund
PavilionIndian				Vacation
PayPal					GiftsGiven
PeachesNaturalYogurt			Dining
PearleVision				Clothing
PediatricCardiology			Doctor
PeeryHotel				WorkTravel
PeetsCoffee				Coffee
PekingUniversity			WorkTravel
PelanchosMexicanGrill			Vacation
PentagonCity				Dining
PenzeysSpices				Groceries
PetersonSpirits				Groceries
Phils					Dining
Piccolo					Vacation
PilgrimMonument				Vacation
Pinkberry				Dining
Pinnacle				Dining
PitaHouse				Dining
PittsburghBagalFactory			WorkTravel
PizzaHut				Dining
PizzeriaUno				Dining
PlanesMovingAndStorage			MovingStorage
Polo					Clothing
Popeyes					WorkTravel
PortJeffFerry				Vacation
PortJeffersonBeverage			Groceries
PortJeffersonFrigate			Dining
PortageShell				Dining
PortoBello				Dining
PostalSavings				General
Potbelly				Dining
PotteryBarn				Furniture
PotteryBarnTeen				Furniture
PotteryBayou				Entertainment
PremiereClasse				WorkTravel
Priceline				Travel
PrimierTitle				HomeDownPayment
PrincessByMomBoutique			Clothing
PriyaIndian				Dining
PrizmBehavioral				Doctor
ProHealth				Doctor
PublicStorage				Rent
Puma					Clothing
PumaOutletStore				Clothing
PumpItUp				GiftsGiven
Qdoba					Dining
QuestDiagnostic				Doctor
QuickCenter				Fuel
Quiznos					Dining
R2F5579EXKI_2F_1			Dining
REI					Clothing
REMOTE_ONLINE_DEPOSIT			Groceries
REVERSE_DEBIT_CARD_PROVISIONAL_CREDIT	CreditCard
RadioPerfecto				Dining
RadioShack				Entertainment
RadissonHotel				WorkTravel
RailEurope				WorkTravel
Ralphs					Groceries
RealMacSoftware				WorkTravel
RedBox					Entertainment
RedBubble.com				General
RedCross				Charity
RedDoorTavern				Dining
RedHarkBar&Grill			Drinks
RedMango				Dining
RedRobin				Dining
RedRoofInn				Travel
Regal					Entertainment
RegalCinema				Entertainment
RegalCinemas				Vacation
Relay4152Midway				Dining
RenaissanceHotels			WorkTravel
ResidenceInn				WorkTravel
ReyesTung				Dining
RezaOnOntario				Dining
RibCityAleHouse				Dining
RidgeOil				Fuel
RistoranteKingsCafe			Dining
RiteAid					General
RiverplaceReality			Rent
RiverplaceRealty			Rent
Riverside				Doctor
RiversidePsychiatric			Doctor
RiverwalkPizza				Dining
RobertMowinney				GiftsGiven
RochambeauWinesAndLiquors		Groceries
RockBottom				Dining
RomaDs					Dining
Romios					Dining
RotiRolls				Dining
Ruby					Dining
RubyTuesdays				Dining
RutgersAthletics			Entertainment
RuthHitSomeonesTailight			Service
SLACCafe				WorkTravel
SLACGeustHouse				WorkTravel
SLACGuestHouse				WorkTravel
SPAQMontreal				Travel
Safeway					Groceries
SalsaSalsa				Dining
SamGol					Fuel
Samsonite				Furniture
SanDiegoZoo				Vacation
SangamRestaurant			Dining
SaraHiggins				GiftsGiven
Sbarro					Dining
ScarecrowVideo				Entertainment
SchenkQuickStop				Dining
ScholasticBookClub			General
SchwartzOBGYN				Doctor
ScottLantz				General
Sears					Service
SeasideCafe				Dining
SeattlesBestCoffee			Coffee
Seaworld				Vacation
SecondCup				Dining
Seiko					GiftsGiven
SellMyTimeShareNow			Vacation
SequenomMolecular			Hospital
ServiceDirectionsInc			General
SetauketVillageDiner			Dining
SezzMedi				Dining
ShadeClothing				Clothing
ShawnMBolgerLtd				HomeDownPayment
SheddAquarium				Entertainment
Shell					Fuel
ShellOil				Fuel
ShellWarehouse				Fuel
Shopzoo.com				GiftsGiven
Shultzys				Dining
ShuttleExpress				WorkTravel
SierraTradingPost			Clothing
SilverStateFoodMart			Fuel
SimplyGourmet				Dining
SivanaSalon				Hair
Skechers				Clothing
SloppyJoesBar				Dining
SmithtownToyota				CarPayment
SoYouThinkYouCanDance			Entertainment
SocieteDeVeloEnLib			Dining
SoftAsAGrape				Vacation
SoldierField				Entertainment
Solstice				WorkTravel
SoundCatering				Vacation
Southwest				Travel
Spartys					Dining
SpatsBar				Dining
Speedway				Fuel
Split					Split
Sportograph				WorkTravel
SportsScene				WorkTravel
StElmosCoffee				Coffee
StJudes					GiftsGiven
StarMarket				Groceries
Starbucks				Coffee
StateFarm				RentersInsurance
StateOfIllinois				Taxes
SterlingPear				General
SteveMadden				Clothing
StirCrazy				Dining
StonyBrook				Dining
StonyBrookCosmeticDentistry		Doctor
StonyBrookFamilyMedice			Doctor
StonyBrookStudentAffairsCenter		Dining
StonyBrookTickets			Entertainment
StonyBrookUniversity			Doctor
StonyBrookUniversityHospital		Doctor
StonybrookChildrensHospital		Doctor
StopAndShop				Groceries
StopLiquors				Alcohol
StrideRite				Clothing
SuCasa					Clothing
Sublet.com				Rent
SubsConscious				Dining
Subsconcious				Dining
SuburbanMaternalFetalMedicine		Dining
Subway					Dining
SuffolkOBGYN				Doctor
SugarCafe				Dining
SunCorners				Travel
SunkenMeadowStatePark			Entertainment
Sunoco					Travel
SunocoOil				Fuel
SunriseQ17Gas				Fuel
SuperLube				Service
SuperShuttle				WorkTravel
SuperShuttleMN				WorkTravel
SurLaTable				Furniture
Sura					WorkTravel
SweetMariasCoffee			Coffee
SymantecSony				BankCharge
SyracuseUniversity			WorkTravel
SysParkingLemoy				Entertainment
T1MedalistBarJFK			Dining
TAX_PRODUCTS_PE4_SBTPG_LLC		Taxes
TGIFridays				WorkTravel
TIAACashContribution			BankCharge
TIAACashDividends			BankCharge
TIAACashLongTermCapitalGains		BankCharge
TIAACashShortTermCapitalGains		BankCharge
TIBMercerSt				Dining
TJMaxx					Clothing
TRANSACTION_FEE				BankCharge
TacoBell				Dining
TacoBron				Dining
TaisRestaurant				Dining
Talbots					Clothing
Tamomaro				Clothing
TampaMindWorks				WorkTravel
TangoAngentinean			Dining
Target					Groceries
TastyWok				Vacation
TaxProducts				Taxes
TaxiMagic				WorkTravel
TeaCollection				Vacation
TeaRoom					Dining
TeachersCreditUnion			Cash
TedsMontanaGrill			Dining
ThaiVillage				Dining
TheBlackDog				Vacation
TheBreadFactoryCafe			Dining
TheCantina				WorkTravel
TheCasualGourmet			Dining
TheCheeseShop				Dining
TheChristmasTreeStore			Vacation
TheCornellStore				Vacation
TheFamishedFrog				Dining
TheGroveChicago				Dining
TheHalfPint				Dining
TheHookerTeaCompany			Dining
TheLandOfNod				Clothing
TheMeltingPot				Dining
TheMeltonPot				Dining
TheMilburnHotel				WorkTravel
TheNatureConservatory			GiftsGiven
TheOldGrapeCellar			Dining
TheOliveGarden				Dining
TheOliveGardon				Dining
ThePie					Dining
ThePortShop				Groceries
TheRepublicOfTea			Dining
TheSecondLandingCafe			Dining
TheSoupKitchen				Vacation
TheSportsAuthority			Recreation
TheVillageAtSquawValley			WorkTravel
TheVillageWay				Groceries
TheraProInc				Clothing
TicketMaster				Entertainment
