2007_6_30_Credit_m49.13		DauneReade			General				
2007_6_4_Chase_m100		BANKATM				Dining				
2007_6_4_Chase_m600		GermanGuyInHarlem		Rent				
2007_6_6_Chase_m100		BANKATM				Dining				
2007_6_6_Chase_p2877.61		ColumbiaUniversitySalary	ThomasSalary			
2007_7_10_Chase_m9.77		IvyLeagueStationary		General				
2007_7_13_Credit_m10		Cash				BankCharge			
2007_7_14_Credit_m116.13	LubePros			Service				
2007_7_16_Chase_m441.78		WalMart				General				
2007_7_16_Chase_m713.8		IKEA				General				
2007_7_17_Chase_m346.67		WestElm				General				
2007_7_1_Credit_m290.29		BedBathAndBeyond		General				
2007_7_23_Chase_m103.95		Nespresso			Coffee				
2007_7_23_Chase_m30		FungWahBus			LocalTravel			
2007_7_24_Chase_m11.93		USPS				General				
2007_7_24_Chase_m200		BANKATM				Dining				
2007_7_30_Chase_m103.95		Nespresso			Coffee				
2007_7_30_Chase_m200		BANKATM				Dining				
2007_7_31_Chase_m130.98		DebitCardProvisionalCredit	GiftReceived			
2007_7_31_Chase_p2861.27	Fermilab			RuthSalary			
2007_7_3_Chase_m2638		ColumbiaUniversity		Rent				
2007_7_4_Credit_m132.41		BedBathAndBeyond		General				
2007_7_4_Credit_p106.14		BedBathAndBeyond		General				
2007_7_5_Chase_m10		MTA				LocalTravel			
2007_7_5_Chase_m200		BANKATM				Dining				
2007_7_5_Chase_p2877.61		ColumbiaUniversitySalary	ThomasSalary			
2007_7_5_Chase_p489.22		BANKATM				WorkTravel			
2007_7_7_Credit_m10		MTA				LocalTravel			
2007_7_7_Credit_m49.21		WilliamsSonoma			General				
2007_7_9_Chase_m1448.17		RiverplaceRealty		Rent				
2007_7_9_Chase_m20		MTA				LocalTravel			
2007_8_13_Chase_p1479.13	BANKATM				WorkTravel			
2007_8_30_Chase_p471.81		ColumbiaUniversitySalary	WorkTravel			
2007_8_31_Chase_p2861.26	Fermilab			RuthSalary			
2007_8_31_Chase_p992.33		ColumbiaUniversitySalary	WorkTravel			
2007_8_3_Chase_m1448.17		RiverplaceRealty		Rent				
2007_8_7_Chase_p3687.73		ColumbiaUniversitySalary	ThomasSalary			
2007_8_8_Chase_m1530.88		ColumbiaUniversity		Rent				
2007_8_8_Credit_m0.29		Cash				BankCharge			
2007_9_10_Chase_m100		BANKATM				Dining				
2007_9_10_Credit_m40		ServiceDirectionsInc		General				
2007_9_12_Credit_m425.51	BedBathAndBeyond		General				
2007_9_13_Chase_m1359		ColumbiaUniversity		Rent				
2007_9_13_Chase_m200		BANKATM				Dining				
2007_9_13_Chase_p2877.6		ColumbiaUniversitySalary	ThomasSalary			
2007_9_14_Chase_m264.04		Check				Doctor				
2007_9_14_Chase_m29.79		Check				Medicine			
2007_9_14_Chase_p427		ColumbiaUniversitySalary	WorkTravel			
2007_9_14_Credit_m338		MauiBanyan			Vacation			
2007_9_18_Credit_m68.83		SweetMariasCoffee		Coffee				
2007_9_20_Chase_m100		BANKATM				Dining				
2007_9_20_Chase_p3096.74	BANKATM				GiftReceived			
2007_9_21_Chase_m30		CarolynSwartz			Doctor				
2007_9_22_Credit_m7.38		Starbucks			Coffee				
2007_9_28_Chase_p2858.26	Fermilab			RuthSalary			
2007_9_29_Credit_m35.42		ExxonMobil			Fuel				
2007_9_2_Credit_m133.2		BedBathAndBeyond		General				
2007_9_2_Credit_m8.34		Starbucks			Coffee				
2007_9_4_Chase_m19.23		DauneReade			General				
2007_9_5_Chase_m1448.17		RiverplaceRealty		Rent				
2007_9_6_Credit_m4.82		Starbucks			Coffee				
2007_9_7_Chase_m24.39		ToysInBabeland			General				
2008_10_12_Credit_m39		LIRR				LocalTravel			
2008_10_14_Chase_m20		MTA				LocalTravel			
2008_10_14_Chase_m5.2		Starbucks			Coffee				
2008_10_14_Credit_m277		Delta				LocalTravel			
2008_10_16_Credit_m100		IlTollway			Tolls				
2008_10_16_Credit_m13.5		LIRR				LocalTravel			
2008_10_16_Credit_m13.5_x	LIRR				LocalTravel			
2008_10_17_Credit_m13.32	CVS				Medicine			
2008_10_17_Credit_m2.01		Starbucks			Coffee				
2008_10_17_Credit_m2.01_x	Starbucks			Coffee				
2008_10_17_Credit_m2.06		Starbucks			Coffee				
2008_10_17_Credit_m50.81	Coastal				Fuel				
2008_10_18_Credit_m2.06		Starbucks			Coffee				
2008_10_19_Credit_m2.06		Starbucks			Coffee				
2008_10_1_Chase_m88.57		Verizon				Phone				
2008_10_1_Credit_m2.09		Starbucks			Coffee				
2008_10_1_Credit_m49.95		ExxonMobil			Fuel				
2008_10_20_Chase_m100		ATMWithdrawal			Dining				
2008_10_20_Chase_m1940		BarnumEq.			Rent				
2008_10_20_Chase_m5000		IRAInvestment			ThomasIRA			
2008_10_21_Credit_m13.5		LIRR				LocalTravel			
2008_10_21_Credit_m9.75		LIRR				LocalTravel			
2008_10_22_Credit_m27.16	ExxonMobil			Fuel				
2008_10_24_Credit_m40.45	Coastal				Fuel				
2008_10_26_Credit_m118.4	Uhaul				LocalTravel			
2008_10_26_Credit_m17.16	Uhaul				LocalTravel			
2008_10_26_Credit_m20		CVS				Medicine			
2008_10_26_Credit_m20.48	Getty				LocalTravel			
2008_10_27_Credit_m43.35	Crate&Barrel			General				
2008_10_27_Credit_m5.15		Delta				LocalTravel			
2008_10_28_Credit_m1.79		Starbucks			Coffee				
2008_10_28_Credit_m1.82		Starbucks			Coffee				
2008_10_28_Credit_m10.5		LIRR				LocalTravel			
2008_10_29_Credit_m1.79		Starbucks			Coffee				
2008_10_2_Credit_m39.95		Equifax				General				
2008_10_30_Chase_p1322.32	ATMDeposit			Rent				
2008_10_30_Credit_m1.79		Starbucks			Coffee				
2008_10_30_Credit_m38.35	Coastal				Fuel				
2008_10_31_Chase_p3006.59	ColumbiaUniversitySalary	ThomasSalary			
2008_10_31_Chase_p521.14	Fermilab			RuthSalary			
2008_10_31_Chase_p6182.22	Fermilab			RuthSalary			
2008_10_31_Credit_m16.27	WildBirdCenter			General				
2008_10_31_Credit_m2		Starbucks			Coffee				
2008_10_3_Credit_m39.95		Equifax				General				
2008_10_4_Credit_m20		Wings				Vacation			
2008_10_4_Credit_m4.07		Starbucks			Coffee				
2008_10_6_Credit_m2.11		Starbucks			Coffee				
2008_10_7_Credit_m13.5		LIRR				LocalTravel			
2008_10_7_Credit_m13.5_x	LIRR				LocalTravel			
2008_10_7_Credit_m53.89		BPOil				Fuel				
2008_10_7_Credit_m6.14		Starbucks			Coffee				
2008_11_10_Chase_p1103.05	ATMDeposit			Rent				
2008_11_10_Credit_m100.45	Nespresso			Coffee				
2008_11_11_Credit_m4.03		WildOutWest			TVInternet			
2008_11_11_Credit_m73		AAA				Service				
2008_11_12_Credit_m20		MTA				LocalTravel			
2008_11_12_Credit_m35.09	Coastal				Fuel				
2008_11_12_Credit_m500		SmithtownToyota			CarPayment			
2008_11_13_Credit_m21.73	MikesMechanics			Service				
2008_11_13_Credit_m27		LIRR				LocalTravel			
2008_11_16_Credit_m12.17	IKEA				General				
2008_11_16_Credit_m13.1		IKEA				General				
2008_11_16_Credit_m193.28	IKEA				General				
2008_11_17_Chase_m6500		ATMWithdrawal			CarPayment			
2008_11_17_Credit_m126.32	SmithtownToyota			CarPayment			
2008_11_17_Credit_m602.76	Crate&Barrel			General				
2008_11_17_Credit_m845.9	AllState			CarInsurance			
2008_11_1_Credit_m3.41		Starbucks			Coffee				
2008_11_20_Credit_m9.75		LIRR				LocalTravel			
2008_11_21_Credit_m9.75		LIRR				LocalTravel			
2008_11_23_Credit_m11.7		CVS				Medicine			
2008_11_23_Credit_m98.32	Cablevision			TVInternet			
2008_11_24_Credit_m22.84	Coastal				Fuel				
2008_11_25_Credit_m13.5		LIRR				LocalTravel			
2008_11_25_Credit_m9.75		LIRR				LocalTravel			
2008_11_26_Chase_p3006.6	ColumbiaUniversitySalary	ThomasSalary			
2008_11_26_Chase_p3606.16	BrookhavenNationalLabSalary	RuthSalary			
2008_11_26_Credit_m20		CVS				Medicine			
2008_11_26_Credit_m22.15	CVS				Medicine			
2008_11_26_Credit_m27.49	CVS				Medicine			
2008_11_28_Credit_m17		ExxonMobil			Fuel				
2008_11_29_Credit_m31.29	CappysCarpet			General				
2008_11_29_Credit_m4.77		CVS				Medicine			
2008_11_29_Credit_m7.88		Starbucks			Coffee				
2008_11_2_Credit_m21.52		ExxonMobil			Fuel				
2008_11_2_Credit_m3.47		CVS				Medicine			
2008_11_2_Credit_m3.63		Starbucks			Coffee				
2008_11_30_Credit_m271		Southwest			LocalTravel			
2008_11_30_Credit_m94.24	Lowes				General				
2008_11_3_Chase_m86.69		Verizon				Phone				
2008_11_3_Chase_p3429.55	ATMDeposit			RuthSalary			
2008_11_3_Credit_m7.5		LIRR				LocalTravel			
2008_11_4_Credit_m13.5		LIRR				LocalTravel			
2008_11_4_Credit_m9.75		LIRR				LocalTravel			
2008_11_6_Credit_m38.04		Coastal				Fuel				
2008_11_8_Credit_m41.27		JiffyLube			Service				
2008_11_9_Credit_m13.89		BedBathAndBeyond		General				
2008_11_9_Credit_m5.16		Starbucks			Coffee				
2008_11_9_Credit_m6.14		Starbucks			Coffee				
2008_12_10_Credit_m11.15	CVS				Medicine			
2008_12_10_Credit_m2		Starbucks			Coffee				
2008_12_11_Credit_m2		Starbucks			Coffee				
2008_12_11_Credit_m23.67	CVS				Medicine			
2008_12_11_Credit_m6.38		D'angelos			Vacation			
2008_12_12_Chase_m324.8		ToyotaCarPayment		CarPayment			
2008_12_12_Credit_m2		Starbucks			Coffee				
2008_12_12_Credit_m8.42		MarathonOil			Fuel				
2008_12_13_Credit_m4.07		Starbucks			Coffee				
2008_12_15_Chase_p0.17		Chase								
2008_12_15_Chase_p0.3		Chase								
2008_12_15_Credit_m256		Southwest			LocalTravel			
2008_12_16_Credit_m83.9		MauiBanyan			Vacation			
2008_12_17_Credit_m14.99	EarlyPregnancyTest		Medicine			
2008_12_17_Credit_m21.06	Coastal				Fuel				
2008_12_18_Chase_m2500		ToyotaCamryFromSteve		CarPayment			
2008_12_18_Credit_m20.99	CVS				Medicine			
2008_12_18_Credit_m31.18	ShellOil			Fuel				
2008_12_19_Chase_m329.13	Check				WorkTravel			
2008_12_19_Credit_m9.99		CVS				Medicine			
2008_12_1_Chase_m200		Check				WorkTravel			
2008_12_1_Chase_m86.47		Verizon				Phone				
2008_12_1_Credit_m2.11		Starbucks			Coffee				
2008_12_20_Credit_m4.33		CVS				Medicine			
2008_12_20_Credit_m8.12		Starbucks			Coffee				
2008_12_20_Credit_m81.26	Los				Clothing			
2008_12_22_Chase_m10000		HSBCTransfer			HouseDownPayment		
2008_12_22_Credit_m20		SuffolkOBGYN			Doctor				
2008_12_22_Credit_m64.18	Crate&Barrel			General				
2008_12_23_Credit_m26.05	BestBuy				General				
2008_12_24_Credit_m6.39		CVS				Medicine			
2008_12_24_HSBC_p10000		HSBCTransfer			HouseDownPayment		
2008_12_26_Credit_m21.04	Coastal				Fuel				
2008_12_27_Credit_m20		CVS				Medicine			
2008_12_28_Credit_m12.45	Sunoco				LocalTravel			
2008_12_28_Credit_m4.87		Starbucks			Coffee				
2008_12_2_Credit_m9.75		LIRR				LocalTravel			
2008_12_2_Credit_m9.75_x	LIRR				LocalTravel			
2008_12_30_Chase_m209.66	LIPA				GasElectric			
2008_12_30_Credit_m51		CrossSoundFerry			Vacation			
2008_12_31_Chase_m11.58		NationalGrid			GasElectric			
2008_12_31_Chase_p3006.58	ColumbiaUniversitySalary	ThomasSalary			
2008_12_31_Chase_p3734.59	BrookhavenNationalLabSalary	RuthSalary			
2008_12_31_Credit_m14.75	CrossSoundFerry			Vacation			
2008_12_3_Chase_m48.76		NationalGrid			GasElectric			
2008_12_4_Credit_m25.49		GulfOil				Fuel				
2008_12_5_Credit_m1.89		CVS				Medicine			
2008_12_5_Credit_m20		SuffolkOBGYN			Doctor				
2008_12_5_Credit_m8.27		CVS				Medicine			
2008_12_7_Credit_m4.07		Starbucks			Coffee				
2008_12_8_Credit_m17.56		CVS				Medicine			
2008_12_8_Credit_m20		SuffolkOBGYN			Doctor				
2008_12_8_Credit_m48.88		MikesMechanics			Service				
2008_12_8_Credit_m5.03		CVS				Medicine			
2008_1_11_Credit_m4.55		Starbucks			Coffee				
2008_1_14_Chase_m100		BANKATM				Dining				
2008_1_14_Chase_m64.5		Southwest			LocalTravel			
2008_1_14_Chase_m99.5		UnitedAirlines			LocalTravel			
2008_1_14_Chase_p500		BANKATM				GiftReceived			
2008_1_15_Chase_m2.98		BarnesAndNoble			Coffee				
2008_1_17_Chase_m100		BANKATM				Dining				
2008_1_19_Credit_m4.04		Starbucks			Coffee				
2008_1_21_Credit_m7.38		Starbucks			Coffee				
2008_1_22_Chase_m200		TeachersCreditUnion		Dining				
2008_1_25_Chase_m201.5		LaGuardiaAirport		WorkTravel			
2008_1_25_Chase_m9.5		LIRR				LocalTravel			
2008_1_28_Chase_m10		MTA				LocalTravel			
2008_1_28_Chase_m3.16		BarnesAndNoble			Coffee				
2008_1_28_Chase_m9.52		RiteAid				General				
2008_1_2_Credit_m49.98		Speedway			Fuel				
2008_1_30_Chase_m100		BANKATM				Dining				
2008_1_30_Chase_p102.77		BANKATM				WorkTravel			
2008_1_31_Chase_p3017.41	Fermilab			RuthSalary			
2008_1_5_Credit_m7.06		Starbucks			Coffee				
2008_1_7_Chase_m40.4		CrateAndBarrel			General				
2008_1_8_Chase_m101.5		Cash				Dining				
2008_1_8_Chase_m1450.26		RiverplaceRealty		Rent				
2008_2_10_Credit_m2.03		Starbucks			Coffee				
2008_2_10_Credit_m2.75		Starbucks			Coffee				
